id,team_id,name,nameEn,number,position,nationality,age,height,weight,marketValue,club
62,2,"Relebohile Mofokeng",,10,前锋,,,,2004-10-23,,,"Orlando Pirates FC"
63,2,"Themba Zwane",,11,中场,,,,1989-08-03,,,"Mamelodi Sundowns FC"
64,2,"Thapelo Maseko",,12,前锋,,,,2003-11-11,,,"AEL Limassol"
65,2,"Sphephelo Sithole",,13,中场,,,,1999-03-03,,,"CD Tondela"
66,2,"Mbekezeli Mbokazi",,14,后卫,,,,2005-09-19,,,"Chicago Fire FC"
67,2,"Iqraam Rayners",,15,前锋,,,,1995-12-19,,,"Mamelodi Sundowns FC"
68,2,"Sipho Chaine",,16,守门员,,,,1996-12-14,,,"Orlando Pirates FC"
69,2,"Evidence Makgopa",,17,前锋,,,,2000-06-05,,,"Orlando Pirates FC"
70,2,"Samukele Kabini",,18,后卫,,,,2004-03-15,,,"Molde FK"
71,2,"Nkosinathi Sibisi",,19,后卫,,,,1995-09-22,,,"Orlando Pirates FC"
72,2,"Khuliso Mudau",,20,后卫,,,,1995-04-26,,,"Mamelodi Sundowns FC"
73,2,"Ime Okon",,21,后卫,,,,2004-02-20,,,"Hannover 96"
74,2,"Ricardo Goss",,22,守门员,,,,1994-04-02,,,"Siwelele FC"
75,2,"Jayden Adams",,23,中场,,,,2001-05-05,,,"Mamelodi Sundowns FC"
76,2,"Olwethu Makhanya",,24,后卫,,,,2004-04-30,,,"Philadelphia Union"
77,2,"Kamogelo Sebelebele",,25,前锋,,,,2002-07-21,,,"Orlando Pirates FC"
78,2,"Bradley Cross",,26,后卫,,,,2001-01-30,,,"Kaizer Chiefs FC"
79,3,"Kim Seung-gyu",,1,守门员,,,,1990-09-30,,,"FC Tokyo"
80,3,"Lee Han-beom",,2,后卫,,,,2002-06-17,,,"FC Midtjylland"
81,3,"Lee Gi-hyuk",,3,中场,,,,2000-07-07,,,"Gangwon FC"
82,3,"Kim Min-jae",,4,后卫,,,,1996-11-15,,,"FC Bayern München"
83,3,"Kim Tae-hyeon",,5,后卫,,,,2000-09-17,,,"Kashima Antlers"
84,3,"Hwang In-beom",,6,中场,,,,1996-09-20,,,"Feyenoord Rotterdam"
85,3,"Son Heung-min",,7,前锋,,,,1992-07-08,,,"LAFC"
86,3,"Paik Seung-ho",,8,中场,,,,1997-03-17,,,"Birmingham City FC"
87,3,"Cho Gue-sung",,9,前锋,,,,1998-01-25,,,"FC Midtjylland"
88,3,"Lee Jae-sung",,10,中场,,,,1992-08-10,,,"1. FSV Mainz 05"
89,3,"Hwang Hee-chan",,11,中场,,,,1996-01-26,,,"Wolverhampton Wanderers FC"
90,3,"Song Bum-keun",,12,守门员,,,,1997-10-15,,,"Jeonbuk Hyundai Motors FC"
91,3,"Lee Tae-seok",,13,后卫,,,,2002-07-28,,,"FK Austria Wien"
92,3,"Cho Wi-je",,14,后卫,,,,2001-08-25,,,"Jeonbuk Hyundai Motors FC"
93,3,"Kim Moon-hwan",,15,后卫,,,,1995-08-01,,,"Daejeon Hana Citizen FC"
94,3,"Park Jin-seob",,16,后卫,,,,1995-10-23,,,"Zhejiang FC"
95,3,"Bae Jun-ho",,17,中场,,,,2003-08-21,,,"Stoke City FC"
96,3,"Oh Hyeon-gyu",,18,前锋,,,,2001-04-12,,,"Beşiktaş JK"
97,3,"Lee Kang-in",,19,中场,,,,2001-02-19,,,"Paris Saint-Germain"
98,3,"Yang Hyun-jun",,20,中场,,,,2002-05-25,,,"Celtic FC"
99,3,"Jo Hyeon-woo",,21,守门员,,,,1991-09-25,,,"Ulsan HD"
100,3,"Seol Young-woo",,22,后卫,,,,1998-12-05,,,"FK Crvena Zvezda"
101,3,"Jens Castrop",,23,后卫,,,,2003-07-29,,,"Borussia Mönchengladbach"
102,3,"Kim Jin-gyu",,24,中场,,,,1997-02-24,,,"Jeonbuk Hyundai Motors FC"
103,3,"Eom Ji-sung",,25,中场,,,,2002-05-09,,,"Swansea City AFC"
104,3,"Lee Dong-gyeong",,26,中场,,,,1997-09-20,,,"Ulsan HD"
105,5,"Dayne St. Clair",,1,守门员,,,,1997-05-09,,,"Inter Miami CF"
106,5,"Alistair Johnston",,2,后卫,,,,1998-10-08,,,"Celtic FC"
107,5,"Alfie Jones",,3,后卫,,,,1997-10-07,,,"Middlesbrough FC"
108,5,"Luc de Fougerolles",,4,后卫,,,,2005-10-12,,,"FCV Dender EH"
109,5,"Joel Waterman",,5,后卫,,,,1996-01-24,,,"Chicago Fire FC"
110,5,"Mathieu Choinière",,6,中场,,,,1999-02-07,,,"LAFC"
111,5,"Stephen Eustáquio",,7,中场,,,,1996-12-21,,,"LAFC"
112,5,"Ismaël Koné",,8,中场,,,,2002-06-16,,,"US Sassuolo"
113,5,"Cyle Larin",,9,前锋,,,,1995-04-17,,,"Southampton FC"
114,5,"Jonathan David",,10,前锋,,,,2000-01-14,,,"Juventus FC"
115,5,"Liam Millar",,11,中场,,,,1999-09-27,,,"Hull City FC"
116,5,"Tani Oluwaseyi",,12,前锋,,,,2000-05-15,,,"Villarreal CF"
117,5,"Derek Cornelius",,13,后卫,,,,1997-11-25,,,"Rangers FC"
118,5,"Jacob Shaffelburg",,14,中场,,,,1999-11-26,,,"LAFC"
119,5,"Moïse Bombito",,15,后卫,,,,2000-03-30,,,"OGC Nice"
120,5,"Maxime Crépeau",,16,守门员,,,,1994-05-11,,,"Orlando City SC"
121,5,"Tajon Buchanan",,17,前锋,,,,1999-02-08,,,"Villarreal CF"
122,5,"Owen Goodman",,18,守门员,,,,2003-11-27,,,"Barnsley"
123,5,"Alphonso Davies",,19,后卫,,,,2000-11-02,,,"FC Bayern München"
124,5,"Ali Ahmed",,20,前锋,,,,2000-10-10,,,"Norwich City FC"
125,5,"Jonathan Osorio",,21,中场,,,,1992-06-12,,,"Toronto FC"
126,5,"Richie Laryea",,22,后卫,,,,1995-01-07,,,"Toronto FC"
127,5,"Niko Sigur",,23,后卫,,,,2003-09-09,,,"HNK Hajduk Split"
128,5,"Promise David",,24,前锋,,,,2001-07-03,,,"Royale Union Saint-Gilloise"
129,5,"Nathan Saliba",,25,中场,,,,2004-02-07,,,"RSC Anderlecht"
130,5,"Jayden Nelson",,26,中场,,,,2002-02-07,,,"Austin FC"
131,7,"Mahmud Abunada",,1,守门员,,,,2000-02-05,,,"Al Rayyan SC"
132,7,"Pedro Miguel",,2,后卫,,,,1990-08-06,,,"Al Sadd SC"
133,7,"Lucas Mendes",,3,后卫,,,,1990-07-03,,,"Al Wakrah SC"
134,7,"Issa Laye",,4,后卫,,,,1997-12-22,,,"Al Arabi SC"
135,7,"Jassem Gaber",,5,后卫,,,,2002-02-20,,,"Al Rayyan SC"
136,7,"Abdulaziz Hatem",,6,中场,,,,1990-01-01,,,"Al Rayyan SC"
137,7,"Ahmed Alaaeldin",,7,前锋,,,,1993-01-31,,,"Al Rayyan SC"
138,7,"Edmilson Junior",,8,前锋,,,,1994-08-19,,,"Al Duhail SC"
139,7,"Mohammed Muntari",,9,前锋,,,,1993-12-20,,,"Al Gharafa SC"
140,7,"Hassan Al-Haydos",,10,前锋,,,,1990-12-11,,,"Al Sadd SC"
141,7,"Akram Afif",,11,前锋,,,,1996-11-18,,,"Al Sadd SC"
142,7,"Karim Boudiaf",,12,中场,,,,1990-09-16,,,"Al Duhail SC"
143,7,"Ayoub Al-Oui",,13,后卫,,,,2005-03-11,,,"Al Gharafa SC"
144,7,"Homam Ahmed",,14,后卫,,,,1999-08-25,,,"Cultural Leonesa"
145,7,"Yusuf Abdurisag",,15,前锋,,,,1999-08-06,,,"Al Wakrah SC"
146,7,"Boualem Khoukhi",,16,后卫,,,,1990-07-09,,,"Al Sadd SC"
147,7,"Ahmed Al-Ganehi",,17,中场,,,,2000-09-22,,,"Al Gharafa SC"
148,7,"Sultan Al-Brake",,18,后卫,,,,1996-04-07,,,"Al Duhail SC"
149,7,"Almoez Ali",,19,前锋,,,,1996-08-19,,,"Al Duhail SC"
150,7,"Ahmed Fathy",,20,中场,,,,1993-01-25,,,"Al Arabi SC"
151,7,"Salah Zakaria",,21,守门员,,,,1999-04-24,,,"Al Duhail SC"
152,7,"Meshaal Barsham",,22,守门员,,,,1998-02-14,,,"Al Sadd SC"
153,7,"Assim Madibo",,23,中场,,,,1996-10-22,,,"Al Wakrah SC"
154,7,"Tahsin Jamshid",,24,前锋,,,,2006-06-16,,,"Al Duhail SC"
155,7,"Al-Hashmi Al-Hussain",,25,后卫,,,,2003-08-15,,,"Al Arabi SC"
156,7,"Mohamed Manai",,26,前锋,,,,2002-10-25,,,"Al Shamal SC"
157,8,"Gregor Kobel",,1,守门员,,,,1997-12-06,,,"Borussia Dortmund"
158,8,"Miro Muheim",,2,后卫,,,,1998-03-24,,,"Hamburger SV"
159,8,"Silvan Widmer",,3,后卫,,,,1993-03-05,,,"1. FSV Mainz 05"
160,8,"Nico Elvedi",,4,后卫,,,,1996-09-30,,,"Borussia Mönchengladbach"
161,8,"Manuel Akanji",,5,后卫,,,,1995-07-19,,,"FC Internazionale Milano"
162,8,"Denis Zakaria",,6,中场,,,,1996-11-20,,,"AS Monaco"
163,8,"Breel Embolo",,7,前锋,,,,1997-02-14,,,"Stade Rennais FC"
164,8,"Remo Freuler",,8,中场,,,,1992-04-15,,,"Bologna FC"
165,8,"Johan Manzambi",,9,中场,,,,2005-10-14,,,"SC Freiburg"
166,8,"Granit Xhaka",,10,中场,,,,1992-09-27,,,"Sunderland AFC"
167,8,"Dan Ndoye",,11,前锋,,,,2000-10-25,,,"Nottingham Forest FC"
168,8,"Yvon Mvogo",,12,守门员,,,,1994-06-06,,,"FC Lorient"
169,8,"Ricardo Rodriguez",,13,后卫,,,,1992-08-25,,,"Real Betis"
170,8,"Ardon Jashari",,14,中场,,,,2002-07-30,,,"AC Milan"
171,8,"Djibril Sow",,15,中场,,,,1997-02-06,,,"Sevilla FC"
172,8,"Christian Fassnacht",,16,前锋,,,,1993-11-11,,,"BSC Young Boys"
173,8,"Rubén Vargas",,17,前锋,,,,1998-08-05,,,"Sevilla FC"
174,8,"Eray Cömert",,18,后卫,,,,1998-02-04,,,"Valencia CF"
175,8,"Noah Okafor",,19,前锋,,,,2000-05-24,,,"Leeds United FC"
176,8,"Michel Aebischer",,20,中场,,,,1997-01-06,,,"Pisa SC"
177,8,"Marvin Keller",,21,守门员,,,,2002-07-03,,,"BSC Young Boys"
178,8,"Fabian Rieder",,22,中场,,,,2002-02-16,,,"FC Augsburg"
179,8,"Zeki Amdouni",,23,前锋,,,,2000-12-04,,,"Burnley FC"
180,8,"Aurèle Amenda",,24,后卫,,,,2003-07-31,,,"Eintracht Frankfurt"
181,8,"Luca Jaquez",,25,后卫,,,,2003-06-02,,,"VfB Stuttgart"
182,8,"Cedric Itten",,26,前锋,,,,1996-12-27,,,"Fortuna Düsseldorf"
183,9,"Alisson",,1,守门员,,,,1992-10-02,,,"Liverpool FC"
184,9,"Éderson Silva",,2,中场,,,,1999-07-07,,,"Atalanta Bergamo"
185,9,"Gabriel Magalhães",,3,后卫,,,,1997-12-19,,,"Arsenal FC"
186,9,"Marquinhos",,4,后卫,,,,1994-05-14,,,"Paris Saint-Germain"
187,9,"Casemiro",,5,中场,,,,1992-02-23,,,"Manchester United FC"
188,9,"Alex Sandro",,6,后卫,,,,1991-01-26,,,"CR Flamengo"
189,9,"Vinícius Júnior",,7,前锋,,,,2000-07-12,,,"Real Madrid C. F."
190,9,"Bruno Guimarães",,8,中场,,,,1997-11-16,,,"Newcastle United FC"
191,9,"Matheus Cunha",,9,前锋,,,,1999-05-27,,,"Manchester United FC"
192,9,"Neymar",,10,前锋,,,,1992-02-05,,,"Santos FC"
193,9,"Raphinha",,11,前锋,,,,1996-12-14,,,"FC Barcelona"
194,9,"Weverton",,12,守门员,,,,1987-12-13,,,"Grêmio FBPA"
195,9,"Danilo Luiz",,13,后卫,,,,1991-07-15,,,"CR Flamengo"
196,9,"Bremer",,14,后卫,,,,1997-03-18,,,"Juventus FC"
197,9,"Léo Pereira",,15,后卫,,,,1996-01-31,,,"CR Flamengo"
198,9,"Douglas Santos",,16,后卫,,,,1994-03-22,,,"FC Zenit St. Petersburg"
199,9,"Fabinho",,17,中场,,,,1993-10-23,,,"Al Ittihad"
200,9,"Danilo Santos",,18,中场,,,,2001-04-29,,,"Botafogo"
201,9,"Endrick",,19,前锋,,,,2006-07-21,,,"Olympique Lyonnais"
202,9,"Lucas Paquetá",,20,中场,,,,1997-08-27,,,"CR Flamengo"
203,9,"Luiz Henrique",,21,前锋,,,,2001-01-02,,,"FC Zenit St. Petersburg"
204,9,"Gabriel Martinelli",,22,前锋,,,,2001-06-18,,,"Arsenal FC"
205,9,"Ederson Moraes",,23,守门员,,,,1993-08-17,,,"Fenerbahçe SK"
206,9,"Roger Ibañez",,24,后卫,,,,1998-11-23,,,"Al Ahli FC"
207,9,"Igor Thiago",,25,前锋,,,,2001-06-26,,,"Brentford FC"
208,9,"Rayan",,26,前锋,,,,2006-08-03,,,"AFC Bournemouth"
209,11,"Johny Placide",,1,守门员,,,,1988-01-29,,,"SC Bastia"
210,11,"Carlens Arcus",,2,后卫,,,,1996-06-28,,,"Angers SCO"
211,11,"Keeto Thermoncy",,3,后卫,,,,2006-03-29,,,"BSC Young Boys"
212,11,"Ricardo Adé",,4,后卫,,,,1990-05-21,,,"LDU Quito"
213,11,"Hannes Delcroix",,5,后卫,,,,1999-02-28,,,"FC Lugano"
214,11,"Carl Sainté",,6,中场,,,,2002-08-09,,,"El Paso Locomotive FC"
215,11,"Derrick Etienne Jr.",,7,前锋,,,,1996-11-25,,,"Toronto FC"
216,11,"Martin Expérience",,8,后卫,,,,1999-03-09,,,"AS Nancy"
217,11,"Duckens Nazon",,9,前锋,,,,1994-04-07,,,"Esteghlal Tehran FC"
218,11,"Jean-Ricner Bellegarde",,10,中场,,,,1998-06-27,,,"Wolverhampton Wanderers FC"
219,11,"Louicius Deedson",,11,前锋,,,,2001-02-11,,,"FC Dallas"
220,11,"Alexandre Pierre",,12,守门员,,,,2001-02-25,,,"FC Sochaux-Montbéliard"
221,11,"Duke Lacroix",,13,后卫,,,,1993-10-14,,,"Colorado Springs Switchbacks FC"
222,11,"Leverton Pierre",,14,中场,,,,1998-03-09,,,"Colorado Springs Switchbacks FC"
223,11,"Ruben Providence",,15,前锋,,,,2001-07-07,,,"Almere City FC"
224,11,"Lenny Joseph",,16,前锋,,,,2000-10-12,,,"Ferencvárosi TC"
225,11,"Danley Jean Jacques",,17,中场,,,,2000-05-20,,,"Philadelphia Union"
226,11,"Wilson Isidor",,18,前锋,,,,2000-08-27,,,"Sunderland AFC"
227,11,"Yassin Fortuné",,19,前锋,,,,1999-01-30,,,"FC Vizela"
228,11,"Frantzdy Pierrot",,20,前锋,,,,1995-03-29,,,"Çaykur Rizespor"
229,11,"Josué Casimir",,21,前锋,,,,2001-09-24,,,"AJ Auxerre"
230,11,"Jean-Kévin Duverne",,22,后卫,,,,1997-07-12,,,"KAA Gent"
231,11,"Josué Duverger",,23,守门员,,,,2000-04-27,,,"FC Cosmos Koblenz"
232,11,"Wilguens Paugain",,24,后卫,,,,2001-08-24,,,"SV Zulte Waregem"
233,11,"Dominique Simon",,25,中场,,,,2000-07-29,,,"FC Tatran Prešov"
234,11,"Woodensky Pierre",,26,中场,,,,2004-12-30,,,"Violette AC"
235,10,"Yassine Bounou",,1,守门员,,,,1991-04-05,,,"Al Hilal SC"
236,10,"Achraf Hakimi",,2,后卫,,,,1998-11-04,,,"Paris Saint-Germain"
237,10,"Noussair Mazraoui",,3,后卫,,,,1997-11-14,,,"Manchester United FC"
238,10,"Sofyan Amrabat",,4,中场,,,,1996-08-21,,,"Real Betis"
239,10,"Nayef Aguerd",,5,后卫,,,,1996-03-30,,,"Al Fateh SC"
240,10,"Ayyoub Bouaddi",,6,中场,,,,2007-10-02,,,"Lille OSC"
241,10,"Chemsdine Talbi",,7,中场,,,,2005-05-09,,,"Sunderland AFC"
242,10,"Azzedine Ounahi",,8,中场,,,,2000-04-19,,,"Girona FC"
243,10,"Soufiane Rahimi",,9,前锋,,,,1996-06-02,,,"Al Ain FC"
244,10,"Brahim Díaz",,10,前锋,,,,1999-08-03,,,"Real Madrid C. F."
245,10,"Ismael Saibari",,11,中场,,,,2001-01-28,,,"PSV Eindhoven"
246,10,"Munir Mohamedi",,12,守门员,,,,1989-05-10,,,"RS Berkane"
247,10,"Zakaria El Ouahdi",,13,后卫,,,,2001-12-31,,,"KRC Genk"
248,10,"Issa Diop",,14,后卫,,,,1997-01-09,,,"Fulham FC"
249,10,"Samir El Mourabet",,15,中场,,,,2005-10-06,,,"RC Strasbourg"
250,10,"Gessime Yassine",,16,中场,,,,2005-11-22,,,"RC Strasbourg"
251,10,"Abde Ezzalzouli",,17,前锋,,,,2001-12-17,,,"Angers SCO"
252,10,"Chadi Riad",,18,后卫,,,,2003-06-17,,,"Crystal Palace FC"
253,10,"Youssef Belammari",,19,后卫,,,,1998-09-20,,,"Al Ahly FC"
254,10,"Ayoub El Kaabi",,20,前锋,,,,1993-06-25,,,"Olympiacos FC"
255,10,"Ayoube Amaimouni",,21,前锋,,,,2004-11-30,,,"Eintracht Frankfurt"
256,10,"Ahmed Reda Tagnaouti",,22,守门员,,,,1996-04-05,,,"ASFAR"
257,10,"Bilal El Khannouss",,23,中场,,,,2004-05-10,,,"VfB Stuttgart"
258,10,"Neil El Aynaoui",,24,中场,,,,2001-07-02,,,"AS Roma"
259,10,"Redouane Halhal",,25,后卫,,,,2003-03-05,,,"KV Mechelen"
260,10,"Anass Salah-Eddine",,26,后卫,,,,2002-01-18,,,"PSV Eindhoven"
261,12,"Angus Gunn",,1,守门员,,,,1996-01-22,,,"Nottingham Forest FC"
262,12,"Aaron Hickey",,2,后卫,,,,2002-06-10,,,"Brentford FC"
263,12,"Andy Robertson",,3,后卫,,,,1994-03-11,,,"Liverpool FC"
264,12,"Scott McTominay",,4,中场,,,,1996-12-08,,,"SSC Napoli"
265,12,"Grant Hanley",,5,后卫,,,,1991-11-20,,,"Hibernian FC"
266,12,"Kieran Tierney",,6,后卫,,,,1997-06-05,,,"Celtic FC"
267,12,"John McGinn",,7,中场,,,,1994-10-18,,,"Aston Villa FC"
268,12,"Tyler Fletcher",,8,中场,,,,2007-03-19,,,"Manchester United FC"
269,12,"Lyndon Dykes",,9,前锋,,,,1995-10-07,,,"Charlton Athletic FC"
270,12,"Ché Adams",,10,前锋,,,,1996-07-13,,,"Torino FC"
271,12,"Ryan Christie",,11,中场,,,,1995-02-22,,,"AFC Bournemouth"
272,12,"Liam Kelly",,12,守门员,,,,1996-01-23,,,"Rangers FC"
273,12,"Jack Hendry",,13,后卫,,,,1995-05-07,,,"Al Ettifaq FC"
274,12,"Ross Stewart",,14,前锋,,,,1996-07-11,,,"Southampton FC"
275,12,"John Souttar",,15,后卫,,,,1996-09-25,,,"Rangers FC"
276,12,"Dominic Hyam",,16,后卫,,,,1995-12-20,,,"Wrexham AFC"
277,12,"Ben Gannon-Doak",,17,前锋,,,,2005-11-11,,,"AFC Bournemouth"
278,12,"George Hirst",,18,前锋,,,,1999-02-15,,,"Ipswich Town FC"
279,12,"Lewis Ferguson",,19,中场,,,,1999-08-24,,,"Bologna FC"
280,12,"Lawrence Shankland",,20,前锋,,,,1995-08-10,,,"Heart Of Midlothian FC"
281,12,"Craig Gordon",,21,守门员,,,,1982-12-31,,,"Heart Of Midlothian FC"
282,12,"Nathan Patterson",,22,后卫,,,,2001-10-16,,,"Everton FC"
283,12,"Kenny McLean",,23,中场,,,,1992-01-08,,,"Norwich City FC"
284,12,"Anthony Ralston",,24,后卫,,,,1998-11-16,,,"Celtic FC"
285,12,"Findlay Curtis",,25,前锋,,,,2006-06-09,,,"Kilmarnock FC"
286,12,"Scott McKenna",,26,后卫,,,,1996-11-12,,,"GNK Dinamo Zagreb"
287,15,"Mathew Ryan",,1,守门员,,,,1992-04-08,,,"Levante UD"
288,15,"Miloš Degenek",,2,后卫,,,,1994-04-28,,,"APOEL FC"
289,15,"Alessandro Circati",,3,后卫,,,,2003-10-10,,,"Parma"
290,15,"Jacob Italiano",,4,后卫,,,,2001-07-30,,,"Grazer AK"
291,15,"Jordan Bos",,5,后卫,,,,2002-10-29,,,"Feyenoord Rotterdam"
292,15,"Jason Geria",,6,后卫,,,,1993-05-10,,,"Albirex Niigata"
293,15,"Mathew Leckie",,7,前锋,,,,1991-02-04,,,"Melbourne City FC"
294,15,"Connor Metcalfe",,8,中场,,,,1999-11-05,,,"FC St. Pauli"
295,15,"Mohamed Touré",,9,前锋,,,,2004-03-26,,,"Norwich City FC"
296,15,"Ajdin Hrustic",,10,前锋,,,,1996-07-05,,,"SC Heracles Almelo"
297,15,"Awer Mabil",,11,前锋,,,,1995-09-15,,,"CD Castellón"
298,15,"Paul Izzo",,12,守门员,,,,1995-01-06,,,"Randers FC"
299,15,"Aiden O'Neill",,13,中场,,,,1998-07-04,,,"New York City FC"
300,15,"Cammy Devlin",,14,中场,,,,1998-06-07,,,"Heart Of Midlothian FC"
301,15,"Kai Trewin",,15,后卫,,,,2001-05-18,,,"New York City FC"
302,15,"Aziz Behich",,16,后卫,,,,1990-12-16,,,"Melbourne City FC"
303,15,"Nestory Irankunda",,17,前锋,,,,2006-02-09,,,"Watford FC"
304,15,"Patrick Beach",,18,守门员,,,,2003-08-06,,,"Melbourne City FC"
305,15,"Harry Souttar",,19,后卫,,,,1998-10-22,,,"Leicester City FC"
306,15,"Cristian Volpato",,20,前锋,,,,2003-11-15,,,"US Sassuolo"
307,15,"Cameron Burgess",,21,后卫,,,,1995-10-21,,,"Swansea City AFC"
308,15,"Jackson Irvine",,22,中场,,,,1993-03-07,,,"FC St. Pauli"
309,15,"Nishan Velupillay",,23,前锋,,,,2001-05-07,,,"Melbourne Victory FC"
310,15,"Paul Okon-Engstler",,24,中场,,,,2005-01-24,,,"Sydney FC"
311,15,"Lucas Herrington",,25,后卫,,,,2007-09-05,,,"Colorado Rapids"
312,15,"Tete Yengi",,26,前锋,,,,2000-11-28,,,"FC Machida Zelvia"
313,14,"Gatito Fernández",,1,守门员,,,,1988-03-29,,,"Cerro Porteño"
