id,date,kickoff_time,stage,group,venue,home_team_id,away_team_id,home_score,away_score,home_penalty,away_penalty,summary
91,2026-07-05,"16:00 UTC-4",round-of-16,C,"New York/New Jersey (East Rutherford)",9,36,1,2,null,null,""
92,2026-07-05,"18:00 UTC-6",round-of-16,A,"Mexico City",1,45,2,3,null,null,""
93,2026-07-06,"14:00 UTC-5",round-of-16,K,"Dallas (Arlington)",41,29,0,1,null,null,""
94,2026-07-06,"17:00 UTC-7",round-of-16,D,"Seattle",13,25,1,4,null,null,""
95,2026-07-07,"12:00 UTC-4",round-of-16,J,"Atlanta",37,26,3,2,null,null,""
96,2026-07-07,"13:00 UTC-7",round-of-16,B,"Vancouver",8,44,0,0,4,3,""
97,2026-07-09,"16:00 UTC-4",quarter-final,I,"Boston (Foxborough)",33,10,2,0,null,null,""
98,2026-07-10,"12:00 UTC-7",quarter-final,H,"Los Angeles (Inglewood)",29,25,2,1,null,null,""
99,2026-07-11,"17:00 UTC-4",quarter-final,I,"Miami (Miami Gardens)",36,45,1,2,null,null,""
100,2026-07-11,"20:00 UTC-5",quarter-final,J,"Kansas City",37,8,3,1,null,null,""
101,2026-07-14,"14:00 UTC-5",semi-final,I,"Dallas (Arlington)",33,29,0,2,null,null,""
102,2026-07-15,"15:00 UTC-4",semi-final,L,"Atlanta",45,37,1,2,null,null,""
103,2026-07-18,"17:00 UTC-4",third-place,I,"Miami (Miami Gardens)",33,45,4,6,null,null,""
104,2026-07-19,"15:00 UTC-4",final,H,"New York/New Jersey (East Rutherford)",29,37,1,0,null,null,""
