player_id,appearances,goals,assists,yellow_cards,red_cards,minutes_played
125,6,0,1,0,0,396
126,5,0,1,0,0,340
127,6,0,0,0,0,480
128,5,0,1,1,0,305
129,6,3,1,0,0,504
130,5,4,2,0,0,325
131,4,2,2,0,0,328
132,5,0,0,0,0,315
133,6,0,2,0,0,528
134,5,0,2,0,0,305
135,4,0,2,0,0,308
136,5,0,1,0,0,320
137,6,0,1,0,0,426
138,3,0,1,0,0,198
139,3,0,2,1,0,189
140,2,0,1,0,0,158
141,3,0,0,0,0,270
142,2,0,0,0,0,170
143,3,0,1,0,0,180
144,3,0,2,0,0,267
145,2,0,1,0,0,170
146,2,0,1,1,0,130
147,3,1,1,0,0,261
148,3,0,1,0,0,201
149,3,0,1,0,0,213
150,3,0,1,0,0,270
151,3,0,0,0,0,180
152,3,0,1,0,0,210
153,2,0,0,0,0,180
154,1,0,1,0,0,80
155,2,0,1,0,0,180
156,2,0,0,0,0,176
157,2,0,0,0,0,156
158,4,5,0,0,0,252
159,3,4,2,0,0,249
160,4,1,1,0,0,316
161,5,0,1,0,0,440
162,5,0,1,0,0,305
163,5,0,1,0,0,450
164,5,0,1,0,0,365
165,5,0,2,0,0,445
166,3,0,2,0,0,210
167,4,0,2,0,0,352
168,4,0,1,0,0,324
169,3,0,1,0,0,216
170,3,0,2,0,0,192
171,4,0,1,0,0,324
172,5,0,1,0,0,450
173,5,3,2,2,0,390
174,5,0,1,0,0,450
175,5,0,1,0,0,345
176,5,0,1,0,0,425
177,4,0,1,0,0,296
178,4,0,2,0,0,264
179,4,0,2,0,0,260
180,5,0,1,0,0,380
181,3,0,0,0,0,258
182,4,0,2,0,0,276
183,4,0,0,0,0,360
184,4,0,0,2,0,240
185,3,1,0,0,0,225
186,4,1,1,0,0,292
187,4,0,2,0,0,328
188,3,0,1,0,0,216
189,3,0,0,0,0,240
190,4,0,0,0,0,336
191,3,0,0,0,0,195
192,3,0,0,0,0,231
193,3,0,0,0,0,222
194,4,0,0,0,0,360
195,2,1,1,0,0,180
196,2,2,2,0,0,172
197,2,0,1,1,0,176
198,3,0,1,0,0,222
199,2,0,0,0,0,172
200,2,0,2,0,0,150
201,2,0,1,0,0,148
202,3,0,0,0,0,270
203,2,0,0,0,0,136
204,1,0,1,0,0,88
205,3,0,0,0,0,192
206,2,0,1,0,0,164
207,4,0,0,0,0,360
208,4,0,0,2,0,292
209,3,0,1,1,0,231
210,2,0,1,0,0,122
211,3,1,1,0,0,216
212,4,4,3,0,0,300
213,4,2,1,0,0,276
214,2,1,1,0,0,154
215,4,1,1,0,0,268
216,2,1,1,0,0,150
217,4,0,1,0,0,280
218,3,0,2,0,0,195
219,4,0,1,0,0,360
220,3,0,0,0,0,267
221,2,0,2,0,0,156
222,3,0,0,0,0,240
223,2,0,0,0,0,174
224,2,0,0,0,0,122
225,2,0,1,0,0,140
226,2,0,1,0,0,140
227,2,0,1,0,0,136
228,2,0,1,0,0,172
229,4,4,3,0,0,240
230,3,1,1,2,0,201
231,4,0,0,0,0,336
232,4,0,0,0,0,264
233,4,0,2,0,0,256
234,4,0,0,0,0,300
235,4,0,2,0,0,360
236,3,0,1,0,0,246
237,3,0,1,0,0,195
238,4,0,0,0,0,360
239,4,0,1,0,0,360
240,3,0,1,0,0,234
241,2,1,1,0,0,180
242,3,1,0,2,0,234
243,4,0,0,0,0,328
244,3,0,0,0,0,255
245,4,0,1,0,0,308
246,3,0,2,0,0,213
247,4,0,0,0,0,360
248,3,0,0,0,0,261
249,3,0,1,0,0,189
250,2,0,1,0,0,160
251,3,0,2,0,0,192
252,3,0,0,0,0,249
253,3,0,1,0,0,222
254,2,0,2,0,0,156
255,3,0,1,1,0,261
256,4,5,0,0,0,272
257,3,3,0,0,0,252
258,2,0,1,0,0,140
259,3,0,1,0,0,261
260,3,2,0,0,0,225
261,4,0,1,0,0,340
262,3,0,1,0,0,204
263,2,0,2,0,0,120
264,4,0,0,0,0,360
265,4,0,1,0,0,300
266,3,0,2,0,0,225
267,2,1,1,0,0,170
268,4,0,0,0,0,360
269,3,0,0,2,0,216
270,3,4,2,0,0,243
271,3,2,1,0,0,231
272,3,1,1,0,0,249
273,2,1,1,0,0,164
274,2,0,1,0,0,138
275,3,0,0,0,0,189
276,3,0,1,0,0,189
277,4,0,0,0,0,264
278,3,0,1,0,0,249
279,3,0,0,0,0,258
280,3,0,1,0,0,201
281,4,0,1,0,0,360
282,3,0,0,0,0,246
283,4,4,2,1,0,244
284,4,1,1,0,0,328
285,3,1,1,0,0,189
286,4,0,1,0,0,300
287,3,0,1,0,0,210
288,4,0,0,0,0,272
289,3,0,0,0,0,258
290,4,0,1,0,0,300
291,3,0,0,0,0,192
292,4,0,0,0,0,360
293,2,0,0,0,0,134
294,3,0,2,0,0,252
295,2,2,2,0,0,158
296,3,0,2,0,0,216
297,2,0,1,0,0,138
298,2,0,1,0,0,156
299,3,0,0,0,0,270
300,2,0,2,0,0,132
301,2,0,2,0,0,124
302,3,0,0,0,0,270
303,3,0,0,0,0,195
304,2,0,1,0,0,148
305,6,0,1,0,0,540
306,6,4,1,1,0,414
307,5,6,3,0,0,310
308,6,3,1,0,1,510
309,6,0,1,2,0,378
310,6,0,0,0,0,534
311,5,0,0,0,0,310
312,6,0,0,0,0,510
313,4,1,1,0,0,296
314,5,0,1,0,0,410
315,5,0,1,0,0,450
316,5,0,2,0,0,385
317,6,0,1,0,0,540
318,6,0,0,0,0,528
319,4,0,2,0,0,280
320,4,5,0,0,0,248
321,4,0,2,2,0,344
322,5,1,1,0,0,390
323,5,1,0,0,0,375
324,4,0,1,0,0,260
325,4,0,1,0,0,248
326,5,0,1,0,0,450
327,4,0,1,0,0,280
328,5,0,0,0,0,350
329,4,0,1,0,0,276
330,2,1,0,1,0,148
331,3,2,1,0,0,204
332,2,0,0,0,0,168
333,1,0,2,0,0,86
334,3,0,0,0,0,270
335,2,0,1,0,0,122
336,3,0,1,0,0,237
337,2,0,2,0,0,148
338,3,0,0,0,0,204
339,2,0,1,0,0,148
340,2,3,0,0,0,120
341,3,1,0,0,0,207
342,3,0,1,0,0,186
343,3,0,0,0,0,222
344,3,0,2,0,0,258
345,3,0,1,0,0,267
346,3,0,1,0,0,270
347,1,0,1,0,0,86
348,8,0,1,0,0,720
349,8,0,1,0,0,616
350,7,0,1,0,0,462
351,8,0,0,0,0,544
352,6,0,1,4,0,534
353,6,0,0,0,0,414
354,7,0,2,0,0,546
355,6,2,0,0,0,444
356,7,6,2,0,0,490
357,7,5,3,0,0,623
358,6,1,0,0,0,492
359,8,0,1,0,0,536
360,7,0,0,0,0,490
361,6,0,2,0,0,534
362,8,0,1,0,0,720
363,4,0,1,0,0,360
364,4,0,0,0,0,304
365,3,0,0,0,0,261
366,4,0,1,0,0,360
367,3,0,0,0,0,249
368,4,0,1,0,0,348
369,4,0,0,0,0,300
370,2,1,1,1,0,158
371,2,0,2,0,0,124
372,2,0,2,0,0,174
373,2,0,1,0,0,160
374,3,0,1,0,0,270
375,3,0,0,0,0,201
376,2,0,0,0,0,166
377,3,0,1,0,0,189
378,2,0,1,0,0,130
379,2,0,0,0,0,122
380,2,2,0,0,0,138
381,1,0,1,1,0,73
382,3,1,0,0,0,228
383,2,5,1,0,0,130
384,3,0,0,0,0,237
385,3,0,1,0,0,270
386,3,0,1,0,0,267
387,3,0,0,0,0,222
388,1,0,1,0,0,68
389,2,0,1,0,0,176
390,2,0,2,0,0,154
391,3,0,0,0,0,270
392,1,0,1,0,0,78
393,2,0,2,0,0,180
394,8,0,1,0,0,720
395,6,0,1,0,0,522
396,7,0,0,0,0,504
397,6,0,0,1,0,402
398,7,0,2,2,0,497
399,6,0,2,0,0,414
400,8,5,3,1,0,544
401,8,9,4,0,0,696
402,8,4,3,0,0,688
403,6,0,0,0,0,474
404,6,0,0,0,0,480
405,8,0,0,0,0,720
406,7,0,0,0,0,560
407,8,0,2,0,0,640
408,8,0,1,0,0,680
409,3,4,0,0,0,234
410,3,1,0,0,0,186
411,4,0,1,0,0,360
412,2,3,0,0,0,132
413,4,1,1,0,0,304
414,3,0,0,0,0,204
415,3,0,1,0,0,249
416,3,0,0,0,0,222
417,4,0,0,0,0,336
418,3,1,1,0,0,270
419,2,0,0,0,0,170
420,3,0,0,0,0,204
421,3,1,1,0,0,213
422,2,0,1,0,0,172
423,2,0,0,0,0,162
424,3,0,1,0,0,180
425,2,0,2,0,0,134
426,3,0,0,0,0,270
427,2,0,1,0,0,160
428,2,0,0,0,0,128
429,6,9,0,0,0,414
430,5,4,0,1,0,315
431,6,0,0,0,0,540
432,6,0,1,0,0,444
433,5,0,1,0,0,390
434,6,0,1,0,0,480
435,6,0,1,0,0,474
436,5,0,1,0,0,305
437,5,0,0,0,0,370
438,5,0,0,0,0,435
439,4,0,0,0,0,324
440,8,0,1,0,0,720
441,6,0,0,0,0,432
442,6,0,0,0,0,540
443,7,0,1,1,0,434
444,8,0,2,1,0,640
445,7,0,0,0,0,595
446,6,0,0,0,0,384
447,8,7,0,1,0,688
448,8,8,4,0,0,528
449,7,5,2,0,0,588
450,8,0,2,0,0,480
451,7,0,0,0,0,448
452,7,0,0,0,0,441
453,8,0,0,0,0,480
454,6,0,0,0,0,468
455,3,3,0,1,0,195
456,3,2,0,0,0,192
457,3,0,2,0,0,189
458,4,0,1,0,0,296
459,3,0,0,0,0,222
460,4,0,2,0,0,244
461,2,0,1,0,0,160
462,4,0,0,0,0,300
463,4,0,1,0,0,360
464,4,0,1,0,0,328
465,3,0,0,0,0,264
466,4,1,1,0,0,316
467,4,2,0,0,0,256
468,3,0,2,0,0,240
469,3,1,1,0,0,237
470,2,0,1,0,0,152
471,3,0,0,0,0,255
472,4,2,2,2,0,320
473,4,0,0,0,0,360
474,2,0,0,0,0,146
475,2,3,1,0,0,144
476,3,0,1,0,0,270
477,3,0,1,0,0,219
478,2,0,2,0,0,136
479,2,0,0,0,0,162
480,2,0,0,0,0,124
481,3,0,0,0,0,219
482,2,0,2,0,0,166
483,4,1,0,0,0,308
484,5,3,2,1,0,450
485,4,1,0,0,0,292
486,3,1,1,0,0,261
487,5,1,1,0,0,395
488,3,1,1,0,0,189
489,5,0,0,2,0,405
490,4,0,0,0,0,348
491,4,0,1,0,1,348
492,5,0,1,0,0,450
493,3,0,2,0,0,201
494,3,0,0,0,0,237
495,3,0,0,0,0,195
496,3,0,2,0,0,252
497,4,0,1,0,0,284
498,3,4,1,1,0,261
499,4,1,1,0,0,248
500,4,0,2,0,0,320
501,4,0,0,0,0,332
502,4,0,1,0,0,292
503,3,0,1,0,0,195
504,3,0,1,0,0,249
505,3,0,2,0,0,237
506,4,0,0,0,0,360
507,3,1,0,0,0,195
508,3,2,2,0,0,186
509,2,1,1,0,0,162
510,2,0,1,0,0,158
511,2,0,1,0,0,136
512,3,0,0,0,0,270
513,3,0,1,0,0,219
514,3,0,1,0,0,243
515,4,2,2,2,0,324
516,4,2,0,0,0,268
517,5,0,1,0,0,450
518,4,0,0,0,0,264
519,4,0,0,0,0,336
520,5,0,1,0,0,345
521,4,0,0,0,0,240
522,3,0,2,0,0,219
523,5,0,0,0,0,360
524,5,0,1,0,0,310
525,3,0,2,0,0,183
526,4,0,0,0,0,296
527,8,0,0,0,0,720
528,7,0,1,0,0,546
529,7,0,1,2,0,483
530,8,0,1,0,0,480
531,6,0,0,3,0,510
532,7,7,2,0,0,434
533,7,8,0,0,0,469
534,7,2,2,0,0,504
535,7,1,1,0,0,609
536,7,0,2,0,0,490
537,7,0,1,0,0,588
538,7,0,0,0,0,532
539,8,0,0,0,0,704
540,7,0,1,0,0,581
541,7,0,0,0,0,441
542,4,4,2,0,0,264
543,4,2,2,0,0,256
544,4,1,0,2,0,360
545,2,0,1,1,0,168
546,3,0,2,0,0,267
547,3,0,2,0,0,210
548,4,0,0,0,0,360
549,4,0,1,0,0,296
550,3,0,1,0,0,234
551,4,0,1,0,0,304
552,3,0,1,0,0,222
553,2,0,0,0,0,122
554,3,0,1,0,0,186
555,4,0,2,0,0,316
556,3,0,1,1,0,234
557,4,2,1,1,0,356
558,4,0,1,1,0,316
559,3,0,2,0,0,192
560,4,0,1,0,0,252
561,3,0,0,0,0,228
562,4,0,0,0,0,268
563,3,0,1,0,0,228
564,4,0,0,0,0,360
565,2,0,1,0,0,144
566,2,0,1,0,0,162
567,3,0,0,0,0,270
568,2,0,0,0,0,140
569,3,0,1,0,0,207
570,2,0,2,0,0,174
571,3,0,1,0,0,186
572,3,0,1,0,0,207
573,2,0,0,0,0,158
574,3,0,1,0,0,231
575,1,0,2,0,0,85
576,1,0,0,0,0,81
