id,date,kickoff_time,stage,group,venue,home_team_id,away_team_id,home_score,away_score,home_penalty,away_penalty,summary
63,2026-06-27,08:00,group-3,H,瓜达拉哈拉体育场,32,29,0,1,,,西班牙小胜乌拉圭
64,2026-06-27,08:00,group-3,H,休斯顿体育场,30,31,0,0,,,佛得角沙特战平
65,2026-06-27,11:00,group-3,G,温哥华不列颠哥伦比亚体育馆,28,25,1,5,,,比利时大胜新西兰
66,2026-06-27,11:00,group-3,G,西雅图体育场,26,27,1,1,,,埃及伊朗战平
67,2026-06-28,05:00,group-3,L,费城体育场,46,47,2,1,,,克罗地亚击败加纳
68,2026-06-28,05:00,group-3,L,纽约/新泽西体育场,48,45,0,2,,,英格兰击败巴拿马
69,2026-06-28,07:30,group-3,K,亚特兰大体育场,42,43,3,1,,,刚果金击败乌兹别克斯坦
70,2026-06-28,07:30,group-3,K,迈阿密体育场,44,41,0,0,,,哥伦比亚葡萄牙战平
71,2026-06-28,10:00,group-3,J,达拉斯体育场,40,37,1,3,,,阿根廷击败约旦
72,2026-06-28,10:00,group-3,J,堪萨斯城体育场,38,39,3,3,,,阿尔及利亚奥地利进球大战
73,2026-06-29,03:00,round-of-32,,洛杉矶体育场,2,5,0,1,,,加拿大首次晋级淘汰赛
74,2026-06-30,01:00,round-of-32,,休斯顿体育场,9,22,2,1,,,巴西险胜日本
75,2026-06-30,04:30,round-of-32,,波士顿体育场,17,14,1,1,4,5,巴拉圭点球淘汰德国
76,2026-06-30,09:00,round-of-32,,蒙特雷体育场,21,10,1,1,3,4,摩洛哥点球淘汰荷兰
77,2026-07-01,01:00,round-of-32,,达拉斯体育场,19,36,1,2,,,挪威击败科特迪瓦
78,2026-07-01,05:00,round-of-32,,纽约/新泽西体育场,33,23,3,0,,,法国完胜瑞典
79,2026-07-01,10:00,round-of-32,,墨西哥城体育场,1,20,2,0,,,墨西哥击败厄瓜多尔
80,2026-07-02,00:00,round-of-32,,亚特兰大体育场,45,42,2,1,,,英格兰击败刚果金
81,2026-07-02,04:00,round-of-32,,西雅图体育场,25,34,3,2,,,比利时加时险胜塞内加尔
82,2026-07-02,08:00,round-of-32,,旧金山湾区体育场,13,6,2,0,,,美国击败波黑
83,2026-07-03,03:00,round-of-32,,洛杉矶体育场,29,39,3,0,,,西班牙完胜奥地利
84,2026-07-03,07:00,round-of-32,,多伦多体育场,41,46,2,1,,,葡萄牙击败克罗地亚
85,2026-07-03,11:00,round-of-32,,温哥华不列颠哥伦比亚体育馆,8,38,2,0,,,瑞士击败阿尔及利亚
86,2026-07-04,02:00,round-of-32,,达拉斯体育场,15,26,0,0,3,5,埃及点球淘汰澳大利亚
87,2026-07-04,06:00,round-of-32,,迈阿密体育场,37,30,3,2,,,阿根廷加时险胜佛得角
88,2026-07-04,09:30,round-of-32,,堪萨斯城体育场,44,47,1,0,,,哥伦比亚小胜加纳
89,2026-07-05,01:00,round-of-16,,休斯顿体育场,5,10,0,3,,,摩洛哥大胜加拿大
90,2026-07-05,05:00,round-of-16,,费城体育场,14,33,0,1,,,法国小胜巴拉圭
91,2026-07-06,04:00,round-of-16,,纽约/新泽西体育场,9,36,1,2,,,挪威爆冷淘汰巴西
92,2026-07-06,09:00,round-of-16,,墨西哥城体育场,1,45,2,3,,,英格兰淘汰墨西哥
93,2026-07-07,03:00,round-of-16,,达拉斯体育场,41,29,0,1,,,西班牙小胜葡萄牙
94,2026-07-07,08:00,round-of-16,,西雅图体育场,13,25,1,4,,,比利时大胜美国
95,2026-07-08,00:00,round-of-16,,亚特兰大体育场,37,26,3,2,,,阿根廷险胜埃及
96,2026-07-08,04:00,round-of-16,,温哥华不列颠哥伦比亚体育馆,8,44,1,1,4,3,瑞士点球淘汰哥伦比亚
97,2026-07-10,04:00,quarter-final,,波士顿体育场,33,10,2,0,,,法国击败摩洛哥
98,2026-07-11,03:00,quarter-final,,洛杉矶体育场,29,25,2,1,,,西班牙击败比利时
99,2026-07-12,05:00,quarter-final,,迈阿密体育场,36,45,1,2,,,英格兰加时淘汰挪威
100,2026-07-12,09:00,quarter-final,,堪萨斯城体育场,37,8,3,1,,,阿根廷加时击败瑞士
101,2026-07-15,03:00,semi-final,,达拉斯体育场,33,29,0,2,,,西班牙击败法国晋级决赛
102,2026-07-16,03:00,semi-final,,亚特兰大体育场,45,37,1,2,,,阿根廷击败英格兰晋级决赛
103,2026-07-19,05:00,third-place,,迈阿密体育场,33,45,4,6,,,英格兰进球大战夺季军
104,2026-07-20,03:00,final,,纽约/新泽西体育场,29,37,1,0,,,费兰加时进球 西班牙加冕世界杯冠军
